station_id,file,size_bytes,size_human,present
02263099999,02263099999.csv,372858,364.12 KiB,True
02265099999,02265099999.csv,388342,379.24 KiB,True
02267099999,02267099999.csv,6600290,6.29 MiB,True
02269099999,02269099999.csv,1744784,1.66 MiB,True
02271099999,02271099999.csv,344238,336.17 KiB,True
02282099999,02282099999.csv,345577,337.48 KiB,True
02284099999,02284099999.csv,393820,384.59 KiB,True
02286099999,02286099999.csv,5936922,5.66 MiB,True
02287099999,02287099999.csv,1938461,1.85 MiB,True
02293099999,02293099999.csv,6274201,5.98 MiB,True
02297099999,02297099999.csv,2072007,1.98 MiB,True
02308099999,02308099999.csv,2087198,1.99 MiB,True
02316099999,02316099999.csv,207390,202.53 KiB,True
02317099999,02317099999.csv,369925,361.25 KiB,True
02319099999,02319099999.csv,279346,272.80 KiB,True
02321099999,02321099999.csv,391469,382.29 KiB,True
02325099999,02325099999.csv,340436,332.46 KiB,True
02327099999,02327099999.csv,1630629,1.56 MiB,True
02329099999,02329099999.csv,336052,328.18 KiB,True
02331099999,02331099999.csv,351412,343.18 KiB,True
02338099999,02338099999.csv,407015,397.48 KiB,True
02343099999,02343099999.csv,413307,403.62 KiB,True
02347099999,02347099999.csv,395517,386.25 KiB,True
02355099999,02355099999.csv,1871288,1.78 MiB,True
02366099999,02366099999.csv,7968005,7.60 MiB,True
02368099999,02368099999.csv,355050,346.73 KiB,True
02382099999,02382099999.csv,289527,282.74 KiB,True
02403099999,02403099999.csv,335038,327.19 KiB,True
02407099999,02407099999.csv,2051939,1.96 MiB,True
02408099999,02408099999.csv,401276,391.87 KiB,True
02411099999,02411099999.csv,396077,386.79 KiB,True
02417099999,02417099999.csv,197888,193.25 KiB,True
02418099999,02418099999.csv,8037782,7.67 MiB,True
02419099999,02419099999.csv,1073806,1.02 MiB,True
02423099999,02423099999.csv,370085,361.41 KiB,True
02426099999,02426099999.csv,386469,377.41 KiB,True
02428399999,02428399999.csv,5839723,5.57 MiB,True
02428499999,02428499999.csv,5988730,5.71 MiB,True
02428599999,02428599999.csv,6115617,5.83 MiB,True
02429099999,02429099999.csv,362282,353.79 KiB,True
02431099999,02431099999.csv,392618,383.42 KiB,True
02432099999,02432099999.csv,279069,272.53 KiB,True
02435099999,02435099999.csv,8024922,7.65 MiB,True
02440099999,02440099999.csv,1815775,1.73 MiB,True
02441099999,02441099999.csv,403450,393.99 KiB,True
02443099999,02443099999.csv,341323,333.32 KiB,True
02446099999,02446099999.csv,5914736,5.64 MiB,True
02449099999,02449099999.csv,406814,397.28 KiB,True
02450099999,02450099999.csv,245152,239.41 KiB,True
02452099999,02452099999.csv,1853954,1.77 MiB,True
02453099999,02453099999.csv,435361,425.16 KiB,True
02456099999,02456099999.csv,1931415,1.84 MiB,True
02458099999,02458099999.csv,6552695,6.25 MiB,True
02460099999,02460099999.csv,6141377,5.86 MiB,True
02462099999,02462099999.csv,309093,301.85 KiB,True
02464099999,02464099999.csv,7699239,7.34 MiB,True
02468099999,02468099999.csv,301995,294.92 KiB,True
02469099999,02469099999.csv,1472866,1.40 MiB,True
02476099999,02476099999.csv,385509,376.47 KiB,True
02481099999,02481099999.csv,410375,400.76 KiB,True
02482099999,02482099999.csv,396364,387.07 KiB,True
02483099999,02483099999.csv,1052754,1.00 MiB,True
02484099999,02484099999.csv,578436,564.88 KiB,True
02485399999,02485399999.csv,5631493,5.37 MiB,True
02486099999,02486099999.csv,299099,292.09 KiB,True
02487099999,02487099999.csv,240696,235.05 KiB,True
02488099999,02488099999.csv,399531,390.17 KiB,True
02489099999,02489099999.csv,313222,305.88 KiB,True
02490099999,02490099999.csv,649352,634.13 KiB,True
02492099999,02492099999.csv,1052754,1.00 MiB,True
02493099999,02493099999.csv,327213,319.54 KiB,True
02498099999,02498099999.csv,2058421,1.96 MiB,True
02500099999,02500099999.csv,2004839,1.91 MiB,True
02501099999,02501099999.csv,289918,283.12 KiB,True
02503099999,02503099999.csv,1554870,1.48 MiB,True
02505099999,02505099999.csv,339200,331.25 KiB,True
02510399999,02510399999.csv,6516127,6.21 MiB,True
