model,lead_hours,corruption,severity,channel_index,channel,repaired_nrmse,corrupted_input_nrmse,repaired_nmae,corrupted_input_nmae,repaired_acc,corrupted_input_acc,repaired_rmse_phys,corrupted_input_rmse_phys
OLD_Full,6,moisture,0.5,24,temperature@925hPa,0.10006654029652706,0.129691500879217,0.07120224546584275,0.09013606733068387,0.9940878447563956,0.98986668491482,1.6185821339297481,2.0977675645643985
OLD_Full,6,moisture,0.5,25,temperature@1000hPa,0.10700513205560735,0.1385164369690638,0.07613284352343529,0.0962242411022707,0.9930827738940078,0.9881450355984468,1.847795821487002,2.391942184843292
OLD_Full,6,moisture,0.5,26,specific_humidity@50hPa,0.07050802875537741,0.23633700617986225,0.05212130218961617,0.20490481052924825,0.9703246888561555,0.6436826608266618,7.050802918782246e-08,2.3633700195332553e-07
OLD_Full,6,moisture,0.5,27,specific_humidity@100hPa,0.18012813166106859,0.43051140107433455,0.11567260505571385,0.31794067576773993,0.9653576102572629,0.781713706722022,1.8012813354818952e-07,4.3051139852503835e-07
OLD_Full,6,moisture,0.5,28,specific_humidity@150hPa,0.36945086298976076,0.5738665205583847,0.2285740462276568,0.38223671419615085,0.9554698676026455,0.8888830298546361,1.366658443013814e-06,2.1228249388704727e-06
OLD_Full,6,moisture,0.5,29,specific_humidity@200hPa,0.3767140417162825,0.5272090093359592,0.24222637521499593,0.341861088517339,0.9515175575364424,0.9038277974938536,8.339799439236799e-06,1.1671497835129022e-05
OLD_Full,6,moisture,0.5,30,specific_humidity@250hPa,0.3810731640954036,0.5458921754784064,0.23875250950669583,0.34316495335739905,0.9506366950441378,0.8988589784758622,2.7576280039820897e-05,3.950337290092918e-05
OLD_Full,6,moisture,0.5,31,specific_humidity@300hPa,0.3697148736085012,0.5740363327333329,0.2366336176153654,0.37096498755433827,0.9548423107105592,0.8892453334472888,6.0607845711971995e-05,9.410252868793522e-05
OLD_Full,6,moisture,0.5,32,specific_humidity@400hPa,0.34497609263707646,0.5750713002852327,0.2280882046660179,0.37950956156008353,0.9626740092053108,0.8927625939070023,0.00017118816902550774,0.0002853687829509229
OLD_Full,6,moisture,0.5,33,specific_humidity@500hPa,0.3073241084092895,0.5171300870782096,0.21011855871087126,0.34650860969200914,0.9685820603968117,0.9094619321169137,0.00032491460733335097,0.0005467293726653313
OLD_Full,6,moisture,0.5,34,specific_humidity@600hPa,0.27545767207359706,0.4652090475817085,0.19527252616838212,0.3236557327013824,0.9726277549990918,0.9204298465446519,0.0004791070679091805,0.0008091440961352554
OLD_Full,6,moisture,0.5,35,specific_humidity@700hPa,0.25548354747144036,0.4273125730336477,0.18283229091261616,0.3061283365319723,0.9752585685855957,0.9298020446300186,0.0006414494800851279,0.0010728652658045794
OLD_Full,6,moisture,0.5,36,specific_humidity@850hPa,0.22075632484582425,0.3346742112402232,0.16074019594526573,0.24117781556131188,0.9794085365936954,0.9521853667164758,0.0008988978245897888,0.001362760160784513
OLD_Full,6,moisture,0.5,37,specific_humidity@925hPa,0.17496170212399725,0.23292385157704434,0.12281123609151356,0.16304103206575613,0.9861020433150988,0.9761400678622086,0.0008847188468148162,0.001177812717591393
OLD_Full,6,moisture,0.5,38,specific_humidity@1000hPa,0.1428870053434673,0.21587991122811384,0.10418832938896674,0.15507819220703956,0.990816598984728,0.9791004096665126,0.0008439445997939864,0.001275068239665285
OLD_Full,6,moisture,0.5,39,u_component_of_wind@50hPa,0.16190179464402366,0.30000180660856085,0.12724010592528553,0.22559765410062316,0.989302113911881,0.9641623103627281,2.4277127961029246,4.498518513165969
OLD_Full,6,moisture,0.5,40,u_component_of_wind@100hPa,0.19321233431231535,0.3419038973533664,0.14949650733130176,0.25400084213957785,0.9859618079699232,0.9559826652701802,2.5811314988377694,4.567508327631041
